,Sex,Pclass,Age,Fare,Embarked,TicketTitles,Titles,FamilyType,CabinTitles
0,0,3,34.5,7.8292,3,1,1,0,1
1,1,3,47.0,7.0,2,1,2,1,1
2,0,2,62.0,9.6875,3,1,1,0,1
3,0,3,27.0,8.6625,2,1,1,0,1
4,1,3,22.0,12.2875,2,1,2,2,1
5,0,3,14.0,9.225,2,1,1,0,1
6,1,3,30.0,7.6292,3,1,3,0,1
7,0,2,26.0,29.0,2,1,1,2,1
8,1,3,18.0,7.2292,1,1,2,0,1
9,0,3,21.0,24.15,2,4,1,2,1
10,0,3,30.272590361445783,7.8958,2,1,1,0,1
11,0,1,46.0,26.0,2,1,1,0,1
12,1,1,23.0,82.2667,2,1,2,1,3
13,0,2,63.0,26.0,2,1,1,1,1
14,1,1,47.0,61.175,2,10,2,1,5
15,1,2,24.0,27.7208,1,9,2,1,1
16,0,2,35.0,12.35,3,1,1,0,1
17,0,3,21.0,7.225,1,1,1,0,1
18,1,3,27.0,7.925,2,5,3,1,1
19,1,3,45.0,7.225,1,1,2,0,1
20,0,1,55.0,59.4,1,2,1,1,1
21,0,3,9.0,3.1708,2,3,4,1,1
22,1,1,30.272590361445783,31.6833,2,2,2,0,1
23,0,1,21.0,61.3792,1,2,1,1,1
24,1,1,48.0,262.375,1,2,2,4,3
25,0,3,50.0,14.5,2,4,1,1,1
26,1,1,22.0,61.9792,1,1,3,1,3
27,0,3,22.5,7.225,1,1,1,0,1
28,0,1,41.0,30.5,2,1,1,0,6
29,0,3,30.272590361445783,21.6792,1,1,1,2,1
30,0,2,50.0,26.0,2,9,1,1,1
31,0,2,24.0,31.5,2,3,1,2,1
32,1,3,33.0,20.575,2,3,2,3,1
33,1,3,30.272590361445783,23.45,2,10,2,3,1
34,0,1,30.0,57.75,1,1,1,1,2
35,0,3,18.5,7.2292,1,1,1,0,1
36,1,3,30.272590361445783,8.05,2,1,3,0,1
37,1,3,21.0,8.6625,2,1,3,0,1
38,0,3,25.0,9.5,2,1,1,0,1
39,0,3,30.272590361445783,56.4958,2,1,1,0,1
40,0,3,39.0,13.4167,1,1,1,1,1
41,0,1,30.272590361445783,26.55,2,1,1,0,4
42,0,3,41.0,7.85,2,6,1,0,1
43,1,2,30.0,13.0,2,1,2,0,1
44,1,1,45.0,52.5542,2,1,2,1,4
45,0,3,25.0,7.925,2,5,1,0,1
46,0,1,45.0,29.7,1,2,1,0,6
47,0,3,30.272590361445783,7.75,3,1,1,0,1
48,1,1,60.0,76.2917,1,1,2,0,4
49,1,3,36.0,15.9,2,3,2,2,1
50,0,1,24.0,60.0,2,1,1,1,2
51,0,2,27.0,15.0333,1,9,1,0,1
52,1,2,20.0,23.0,2,1,3,3,1
53,1,1,28.0,263.0,2,1,3,5,2
54,0,2,30.272590361445783,15.5792,1,9,1,0,1
55,0,3,10.0,29.125,3,1,4,5,1
56,0,3,35.0,7.8958,2,1,1,0,1
57,0,3,25.0,7.65,2,1,1,0,7
58,0,3,30.272590361445783,16.1,2,1,1,1,1
59,1,1,36.0,262.375,1,2,3,0,3
60,0,3,17.0,7.8958,2,1,1,0,1
61,0,2,32.0,13.5,2,1,1,0,1
62,0,3,18.0,7.75,2,1,1,0,1
63,1,3,22.0,7.725,3,1,3,0,1
64,0,1,13.0,262.375,1,2,4,4,3
65,1,2,30.272590361445783,21.0,2,11,2,0,1
66,1,3,18.0,7.8792,3,1,3,0,1
67,0,1,47.0,42.4,2,1,1,0,1
