,Sex,Pclass,Age,Fare,Embarked,TicketTitles,Titles,FamilyType,CabinTitles,Prediction
0,0.0,3.0,34.5,7.8292,3.0,1.0,1.0,0.0,1.0,0.0
1,1.0,3.0,47.0,7.0,2.0,1.0,2.0,1.0,1.0,1.0
2,0.0,2.0,62.0,9.6875,3.0,1.0,1.0,0.0,1.0,0.0
3,0.0,3.0,27.0,8.6625,2.0,1.0,1.0,0.0,1.0,0.0
4,1.0,3.0,22.0,12.2875,2.0,1.0,2.0,2.0,1.0,1.0
5,0.0,3.0,14.0,9.225,2.0,1.0,1.0,0.0,1.0,0.0
6,1.0,3.0,30.0,7.6292,3.0,1.0,3.0,0.0,1.0,1.0
7,0.0,2.0,26.0,29.0,2.0,1.0,1.0,2.0,1.0,0.0
8,1.0,3.0,18.0,7.2292,1.0,1.0,2.0,0.0,1.0,1.0
9,0.0,3.0,21.0,24.15,2.0,4.0,1.0,2.0,1.0,0.0
10,0.0,3.0,30.272590361445783,7.8958,2.0,1.0,1.0,0.0,1.0,0.0
11,0.0,1.0,46.0,26.0,2.0,1.0,1.0,0.0,1.0,0.0
12,1.0,1.0,23.0,82.2667,2.0,1.0,2.0,1.0,3.0,1.0
13,0.0,2.0,63.0,26.0,2.0,1.0,1.0,1.0,1.0,0.0
14,1.0,1.0,47.0,61.175,2.0,10.0,2.0,1.0,5.0,1.0
15,1.0,2.0,24.0,27.7208,1.0,9.0,2.0,1.0,1.0,1.0
16,0.0,2.0,35.0,12.35,3.0,1.0,1.0,0.0,1.0,0.0
17,0.0,3.0,21.0,7.225,1.0,1.0,1.0,0.0,1.0,0.0
18,1.0,3.0,27.0,7.925,2.0,5.0,3.0,1.0,1.0,0.0
19,1.0,3.0,45.0,7.225,1.0,1.0,2.0,0.0,1.0,1.0
20,0.0,1.0,55.0,59.4,1.0,2.0,1.0,1.0,1.0,0.0
21,0.0,3.0,9.0,3.1708,2.0,3.0,4.0,1.0,1.0,1.0
22,1.0,1.0,30.272590361445783,31.6833,2.0,2.0,2.0,0.0,1.0,1.0
23,0.0,1.0,21.0,61.3792,1.0,2.0,1.0,1.0,1.0,1.0
24,1.0,1.0,48.0,262.375,1.0,2.0,2.0,4.0,3.0,1.0
25,0.0,3.0,50.0,14.5,2.0,4.0,1.0,1.0,1.0,0.0
26,1.0,1.0,22.0,61.9792,1.0,1.0,3.0,1.0,3.0,1.0
27,0.0,3.0,22.5,7.225,1.0,1.0,1.0,0.0,1.0,0.0
28,0.0,1.0,41.0,30.5,2.0,1.0,1.0,0.0,6.0,0.0
29,0.0,3.0,30.272590361445783,21.6792,1.0,1.0,1.0,2.0,1.0,0.0
30,0.0,2.0,50.0,26.0,2.0,9.0,1.0,1.0,1.0,0.0
31,0.0,2.0,24.0,31.5,2.0,3.0,1.0,2.0,1.0,0.0
32,1.0,3.0,33.0,20.575,2.0,3.0,2.0,3.0,1.0,0.0
33,1.0,3.0,30.272590361445783,23.45,2.0,10.0,2.0,3.0,1.0,0.0
34,0.0,1.0,30.0,57.75,1.0,1.0,1.0,1.0,2.0,0.0
35,0.0,3.0,18.5,7.2292,1.0,1.0,1.0,0.0,1.0,0.0
36,1.0,3.0,30.272590361445783,8.05,2.0,1.0,3.0,0.0,1.0,1.0
37,1.0,3.0,21.0,8.6625,2.0,1.0,3.0,0.0,1.0,1.0
38,0.0,3.0,25.0,9.5,2.0,1.0,1.0,0.0,1.0,0.0
39,0.0,3.0,30.272590361445783,56.4958,2.0,1.0,1.0,0.0,1.0,0.0
40,0.0,3.0,39.0,13.4167,1.0,1.0,1.0,1.0,1.0,0.0
41,0.0,1.0,30.272590361445783,26.55,2.0,1.0,1.0,0.0,4.0,0.0
42,0.0,3.0,41.0,7.85,2.0,6.0,1.0,0.0,1.0,0.0
43,1.0,2.0,30.0,13.0,2.0,1.0,2.0,0.0,1.0,1.0
44,1.0,1.0,45.0,52.5542,2.0,1.0,2.0,1.0,4.0,1.0
45,0.0,3.0,25.0,7.925,2.0,5.0,1.0,0.0,1.0,0.0
46,0.0,1.0,45.0,29.7,1.0,2.0,1.0,0.0,6.0,0.0
47,0.0,3.0,30.272590361445783,7.75,3.0,1.0,1.0,0.0,1.0,0.0
48,1.0,1.0,60.0,76.2917,1.0,1.0,2.0,0.0,4.0,1.0
49,1.0,3.0,36.0,15.9,2.0,3.0,2.0,2.0,1.0,0.0
50,0.0,1.0,24.0,60.0,2.0,1.0,1.0,1.0,2.0,0.0
51,0.0,2.0,27.0,15.0333,1.0,9.0,1.0,0.0,1.0,0.0
52,1.0,2.0,20.0,23.0,2.0,1.0,3.0,3.0,1.0,1.0
53,1.0,1.0,28.0,263.0,2.0,1.0,3.0,5.0,2.0,1.0
54,0.0,2.0,30.272590361445783,15.5792,1.0,9.0,1.0,0.0,1.0,0.0
55,0.0,3.0,10.0,29.125,3.0,1.0,4.0,5.0,1.0,0.0
56,0.0,3.0,35.0,7.8958,2.0,1.0,1.0,0.0,1.0,0.0
57,0.0,3.0,25.0,7.65,2.0,1.0,1.0,0.0,7.0,0.0
58,0.0,3.0,30.272590361445783,16.1,2.0,1.0,1.0,1.0,1.0,0.0
59,1.0,1.0,36.0,262.375,1.0,2.0,3.0,0.0,3.0,1.0
60,0.0,3.0,17.0,7.8958,2.0,1.0,1.0,0.0,1.0,0.0
61,0.0,2.0,32.0,13.5,2.0,1.0,1.0,0.0,1.0,0.0
62,0.0,3.0,18.0,7.75,2.0,1.0,1.0,0.0,1.0,0.0
63,1.0,3.0,22.0,7.725,3.0,1.0,3.0,0.0,1.0,0.0
64,0.0,1.0,13.0,262.375,1.0,2.0,4.0,4.0,3.0,1.0
65,1.0,2.0,30.272590361445783,21.0,2.0,11.0,2.0,0.0,1.0,1.0
66,1.0,3.0,18.0,7.8792,3.0,1.0,3.0,0.0,1.0,0.0
